Date,Product ID,Image,BAAP SKU,Vendor SKU,Name,Quantity,Wholesale Price,Vendor Price,MRP,Vendor,Vendor ID,Category
09-06-2026,41698,https://live.staticflickr.com/65535/52351826026_13c126ab3d_o_d.jpg,BSB803BSAMYYYalai_Purple,BSB803BSAMYYYalai_Purple,"Generic Women's Lycra Blend Saree with Blouse (Purple, 5-6 Mtrs)",20,349,349,349,3 Buddy Fashion,116,Sarees
09-06-2026,41699,https://live.staticflickr.com/65535/52350878677_f13d880bb7_o_d.jpg,BSB803BSAMYYYalai_Rama,BSB803BSAMYYYalai_Rama,"Generic Women's Lycra Blend Saree with Blouse (Rama, 5-6 Mtrs)",20,349,349,349,3 Buddy Fashion,116,Sarees
09-06-2026,41700,https://live.staticflickr.com/65535/52352075028_6b3ece45e0_o_d.jpg,BSB803BSAMYYYalai_Red,BSB803BSAMYYYalai_Red,"Generic Women's Lycra Blend Saree with Blouse (Red, 5-6 Mtrs)",18,349,349,349,3 Buddy Fashion,116,Sarees
09-06-2026,41701,https://live.staticflickr.com/65535/52350881002_8aa22dabda_o_d.jpg,BSB803BSAMYYYalaiPatti_Blue,BSB803BSAMYYYalaiPatti_Blue,"Generic Women's Lycra Blend Saree with Blouse (Blue, 5-6 Mtrs)",20,349,349,349,3 Buddy Fashion,116,Sarees
09-06-2026,41702,https://live.staticflickr.com/65535/52350880937_d09b5fa947_o_d.jpg,BSB803BSAMYYYalaiPatti_Coffee,BSB803BSAMYYYalaiPatti_Coffee,"Generic Women's Lycra Blend Saree with Blouse (Coffee, 5-6 Mtrs)",0,349,349,349,3 Buddy Fashion,116,Sarees
09-06-2026,41703,https://live.staticflickr.com/65535/52352254725_cc1d85ecb9_o_d.jpg,BSB803BSAMYYYalaiPatti_Green,BSB803BSAMYYYalaiPatti_Green,"Generic Women's Lycra Blend Saree with Blouse (Green, 5-6 Mtrs)",20,349,349,349,3 Buddy Fashion,116,Sarees
09-06-2026,41704,https://live.staticflickr.com/65535/52352151774_96eff6cc7a_o_d.jpg,BSB803BSAMYYYalaiPatti_Grey,BSB803BSAMYYYalaiPatti_Grey,"Generic Women's Lycra Blend Saree with Blouse (Grey, 5-6 Mtrs)",17,349,349,349,3 Buddy Fashion,116,Sarees
09-06-2026,41705,https://live.staticflickr.com/65535/52352254595_8830cfe42e_o_d.jpg,BSB803BSAMYYYalaiPatti_Mustard,BSB803BSAMYYYalaiPatti_Mustard,"Generic Women's Lycra Blend Saree with Blouse (Mustard, 5-6 Mtrs)",16,349,349,349,3 Buddy Fashion,116,Sarees
09-06-2026,41706,https://live.staticflickr.com/65535/52352072838_0aa159ccdc_o_d.jpg,BSB803BSAMYYYalaiPatti_Orange,BSB803BSAMYYYalaiPatti_Orange,"Generic Women's Lycra Blend Saree with Blouse (Orange, 5-6 Mtrs)",0,349,349,349,3 Buddy Fashion,116,Sarees
09-06-2026,41707,https://live.staticflickr.com/65535/52351828011_c5bf470f78_o_d.jpg,BSB803BSAMYYYalaiPatti_Pink,BSB803BSAMYYYalaiPatti_Pink,"Generic Women's Lycra Blend Saree with Blouse (Pink, 5-6 Mtrs)",10,349,349,349,3 Buddy Fashion,116,Sarees
09-06-2026,41708,https://live.staticflickr.com/65535/52352154134_dd92928528_o_d.jpg,BSB803BSAMYYYalaiPatti_Pista,BSB803BSAMYYYalaiPatti_Pista,"Generic Women's Lycra Blend Saree with Blouse (Pista, 5-6 Mtrs)",0,349,349,349,3 Buddy Fashion,116,Sarees
09-06-2026,41709,https://live.staticflickr.com/65535/52352154089_3199a02fdc_o_d.jpg,BSB803BSAMYYYalaiPatti_Purple,BSB803BSAMYYYalaiPatti_Purple,"Generic Women's Lycra Blend Saree with Blouse (Purple, 5-6 Mtrs)",20,349,349,349,3 Buddy Fashion,116,Sarees
09-06-2026,41710,https://live.staticflickr.com/65535/52352075028_6b3ece45e0_o_d.jpg,BSB803BSAMYYYalaiPatti_Red,BSB803BSAMYYYalaiPatti_Red,"Generic Women's Lycra Blend Saree with Blouse (Red, 5-6 Mtrs)",0,349,349,349,3 Buddy Fashion,116,Sarees
